# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  16400      1.83e+00    1.74e+00      1.84e-02    1.76e-02      6.23e-02    5.93e-02    8.6e-04
  16600      1.50e+00    1.98e+00      8.94e-02    8.91e-02      4.97e-02    6.65e-02    8.6e-04
  16800      1.82e+00    1.67e+00      1.07e-02    9.98e-03      6.22e-02    5.69e-02    8.6e-04
  17000      1.92e+00    1.23e+00      9.38e-03    1.13e-02      6.55e-02    4.21e-02    8.6e-04
  17200      9.36e-01    1.12e+00      2.51e-02    2.10e-02      3.18e-02    3.82e-02    8.6e-04
  17400      1.66e+00    1.49e+00      5.09e-02    4.96e-02      5.63e-02    5.04e-02    8.6e-04
  17600      1.36e+00    1.82e+00      5.03e-02    5.35e-02      4.59e-02    6.17e-02    8.6e-04
  17800      1.78e+00    9.48e-01      1.21e-01    1.26e-01      5.86e-02    2.75e-02    8.6e-04
  18000      1.78e+00    1.40e+00      9.97e-02    1.02e-01      5.91e-02    4.57e-02    8.6e-04
  18200      1.68e+00    1.73e+00      1.13e-01    1.13e-01      5.52e-02    5.71e-02    8.6e-04
  18400      1.62e+00    2.32e+00      2.75e-03    1.07e-03      5.54e-02    7.91e-02    8.6e-04
  18600      7.80e-01    7.44e-01      4.98e-02    4.93e-02      2.58e-02    2.45e-02    8.6e-04
  18800      1.91e+00    1.54e+00      1.55e-02    1.55e-02      6.51e-02    5.26e-02    8.6e-04
  19000      1.73e+00    1.41e+00      4.61e-02    5.16e-02      5.89e-02    4.76e-02    8.6e-04
  19200      1.62e+00    1.73e+00      5.42e-03    4.30e-03      5.55e-02    5.91e-02    8.6e-04
  19400      2.17e+00    1.47e+00      1.43e-02    1.07e-02      7.42e-02    5.01e-02    8.6e-04
  19600      1.97e+00    1.59e+00      1.54e-02    1.59e-02      6.73e-02    5.43e-02    8.6e-04
  19800      2.69e+00    8.77e-01      6.30e-02    6.07e-02      9.15e-02    2.88e-02    8.6e-04
  20000      1.65e+00    1.29e+00      5.10e-02    4.90e-02      5.73e-02    4.44e-02    8.1e-04
  20200      8.85e-01    9.14e-01      3.25e-02    3.11e-02      3.06e-02    3.16e-02    8.1e-04
  20400      1.45e+00    1.31e+00      1.44e-02    1.53e-02      5.07e-02    4.59e-02    8.1e-04
  20600      1.69e+00    1.42e+00      2.02e-02    2.12e-02      5.93e-02    4.97e-02    8.1e-04
  20800      1.47e+00    2.49e+00      3.98e-02    3.35e-02      5.10e-02    8.71e-02    8.1e-04
  21000      1.93e+00    1.60e+00      3.44e-02    3.23e-02      6.76e-02    5.57e-02    8.1e-04
  21200      1.83e+00    1.70e+00      5.46e-02    5.39e-02      6.35e-02    5.89e-02    8.1e-04
  21400      1.77e+00    1.36e+00      4.41e-02    4.47e-02      6.16e-02    4.73e-02    8.1e-04
  21600      1.23e+00    9.42e-01      1.50e-02    1.33e-02      4.29e-02    3.29e-02    8.1e-04
  21800      2.33e+00    1.80e+00      2.82e-02    2.68e-02      8.14e-02    6.30e-02    8.1e-04
  22000      2.49e+00    1.05e+00      1.80e-02    1.96e-02      8.71e-02    3.67e-02    8.1e-04
  22200      1.99e+00    1.58e+00      6.56e-02    6.11e-02      6.90e-02    5.46e-02    8.1e-04
  22400      1.42e+00    1.45e+00      4.51e-02    4.40e-02      4.93e-02    5.05e-02    8.1e-04
  22600      1.75e+00    1.48e+00      9.82e-03    6.95e-03      6.11e-02    5.19e-02    8.1e-04
  22800      2.30e+00    1.54e+00      1.99e-02    2.04e-02      8.06e-02    5.37e-02    8.1e-04
  23000      1.26e+00    1.52e+00      2.18e-02    2.25e-02      4.42e-02    5.31e-02    8.1e-04
  23200      1.62e+00    1.33e+00      6.00e-02    5.80e-02      5.59e-02    4.57e-02    8.1e-04
  23400      1.39e+00    1.50e+00      2.20e-02    2.05e-02      4.87e-02    5.24e-02    8.1e-04
  23600      1.09e+00    1.09e+00      3.19e-02    3.36e-02      3.78e-02    3.79e-02    8.1e-04
  23800      1.55e+00    1.48e+00      1.36e-01    1.33e-01      5.00e-02    4.77e-02    8.1e-04
  24000      1.57e+00    1.64e+00      5.12e-03    4.21e-03      5.51e-02    5.74e-02    8.1e-04
  24200      1.50e+00    1.56e+00      5.45e-03    2.88e-03      5.27e-02    5.45e-02    8.1e-04
  24400      1.44e+00    1.21e+00      3.67e-03    2.39e-03      5.03e-02    4.24e-02    8.1e-04
  24600      7.90e-01    1.65e+00      1.96e-02    2.17e-02      2.75e-02    5.78e-02    8.1e-04
  24800      1.80e+00    1.27e+00      1.36e-01    1.35e-01      5.92e-02    3.93e-02    8.1e-04
  25000      1.71e+00    1.58e+00      1.62e-02    1.85e-02      6.13e-02    5.69e-02    7.7e-04
  25200      1.16e+00    1.40e+00      5.50e-03    7.95e-03      4.18e-02    5.01e-02    7.7e-04
  25400      1.47e+00    1.40e+00      4.60e-02    4.46e-02      5.23e-02    4.95e-02    7.7e-04
  25600      1.53e+00    1.59e+00      2.57e-02    2.40e-02      5.47e-02    5.70e-02    7.7e-04
  25800      1.74e+00    1.87e+00      2.18e-02    2.15e-02      6.23e-02    6.71e-02    7.7e-04
  26000      1.43e+00    1.70e+00      1.80e-02    2.19e-02      5.14e-02    6.10e-02    7.7e-04
  26200      1.49e+00    1.63e+00      2.99e-02    2.97e-02      5.32e-02    5.83e-02    7.7e-04
  26400      9.63e-01    1.01e+00      6.78e-03    7.23e-03      3.46e-02    3.62e-02    7.7e-04
  26600      1.43e+00    1.09e+00      4.26e-02    4.12e-02      5.09e-02    3.84e-02    7.7e-04
  26800      9.86e-01    1.07e+00      6.15e-02    6.20e-02      3.38e-02    3.69e-02    7.7e-04
  27000      1.02e+00    1.41e+00      2.06e-02    2.01e-02      3.63e-02    5.05e-02    7.7e-04
  27200      1.50e+00    1.41e+00      1.23e-01    1.23e-01      4.95e-02    4.60e-02    7.7e-04
  27400      1.51e+00    1.41e+00      1.43e-01    1.44e-01      4.80e-02    4.41e-02    7.7e-04
  27600      2.05e+00    1.03e+00      4.37e-02    4.19e-02      7.34e-02    3.62e-02    7.7e-04
  27800      1.92e+00    1.39e+00      9.03e-03    9.72e-03      6.91e-02    4.99e-02    7.7e-04
  28000      1.82e+00    1.34e+00      3.44e-02    3.25e-02      6.53e-02    4.80e-02    7.7e-04
  28200      1.49e+00    1.05e+00      1.39e-01    1.43e-01      4.77e-02    2.85e-02    7.7e-04
  28400      1.85e+00    1.09e+00      2.33e-02    1.90e-02      6.65e-02    3.89e-02    7.7e-04
  28600      1.67e+00    1.05e+00      5.24e-02    5.15e-02      5.94e-02    3.65e-02    7.7e-04
  28800      8.98e-01    1.24e+00      6.12e-02    6.05e-02      3.05e-02    4.34e-02    7.7e-04
  29000      1.75e+00    2.04e+00      2.16e-02    1.99e-02      6.28e-02    7.32e-02    7.7e-04
  29200      1.13e+00    1.58e+00      2.38e-02    2.62e-02      4.05e-02    5.66e-02    7.7e-04
  29400      1.23e+00    1.10e+00      8.59e-02    8.44e-02      4.14e-02    3.68e-02    7.7e-04
  29600      1.05e+00    1.67e+00      1.58e-02    1.23e-02      3.75e-02    6.00e-02    7.7e-04
  29800      1.14e+00    1.18e+00      3.77e-02    3.64e-02      4.06e-02    4.19e-02    7.7e-04
  30000      1.26e+00    1.13e+00      3.12e-02    2.90e-02      4.60e-02    4.15e-02    7.4e-04
  30200      1.26e+00    1.57e+00      2.34e-02    2.42e-02      4.61e-02    5.77e-02    7.4e-04
  30400      9.23e-01    9.69e-01      2.78e-02    2.85e-02      3.36e-02    3.53e-02    7.4e-04
  30600      5.27e-01    9.78e-01      4.90e-03    4.65e-03      1.94e-02    3.61e-02    7.4e-04
  30800      1.92e+00    1.13e+00      5.61e-02    5.44e-02      7.01e-02    4.02e-02    7.4e-04
  31000      1.12e+00    1.42e+00      1.88e-02    1.95e-02      4.13e-02    5.22e-02    7.4e-04
  31200      1.15e+00    1.08e+00      1.77e-02    1.66e-02      4.21e-02    3.96e-02    7.4e-04
  31400      7.44e-01    1.35e+00      9.95e-03    6.49e-03      2.74e-02    4.97e-02    7.4e-04
  31600      2.02e+00    1.13e+00      9.13e-03    9.64e-03      7.46e-02    4.17e-02    7.4e-04
  31800      1.03e+00    1.27e+00      9.59e-04    2.03e-03      3.80e-02    4.70e-02    7.4e-04
  32000      1.52e+00    9.49e-01      9.72e-04    1.20e-03      5.62e-02    3.50e-02    7.4e-04
  32200      7.52e-01    1.38e+00      4.14e-02    4.14e-02      2.65e-02    5.03e-02    7.4e-04
  32400      1.01e+00    1.54e+00      1.84e-02    1.68e-02      3.71e-02    5.69e-02    7.4e-04
  32600      1.01e+00    8.98e-01      1.46e-02    1.44e-02      3.71e-02    3.30e-02    7.4e-04
  32800      9.80e-01    1.30e+00      4.55e-02    4.71e-02      3.51e-02    4.71e-02    7.4e-04
  33000      1.41e+00    1.01e+00      1.99e-02    2.67e-02      5.20e-02    3.70e-02    7.4e-04
  33200      1.96e+00    9.44e-01      1.76e-02    1.72e-02      7.23e-02    3.47e-02    7.4e-04
  33400      1.59e+00    6.13e-01      2.05e-02    2.40e-02      5.83e-02    2.21e-02    7.4e-04
  33600      1.37e+00    1.03e+00      5.70e-02    5.68e-02      4.92e-02    3.65e-02    7.4e-04
  33800      1.04e+00    9.70e-01      2.75e-02    2.68e-02      3.80e-02    3.54e-02    7.4e-04
  34000      1.62e+00    1.28e+00      2.59e-02    2.37e-02      5.97e-02    4.71e-02    7.4e-04
  34200      1.07e+00    1.04e+00      3.25e-02    3.06e-02      3.88e-02    3.79e-02    7.4e-04
  34400      1.80e+00    1.30e+00      1.20e-02    1.25e-02      6.64e-02    4.79e-02    7.4e-04
  34600      1.15e+00    1.20e+00      3.97e-02    4.54e-02      4.16e-02    4.32e-02    7.4e-04
