# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
 573200      5.66e-02    3.83e-02      3.37e-04    3.02e-04      2.87e-02    1.94e-02    2.9e-06
 573400      3.69e-02    2.22e-02      3.73e-04    4.26e-04      1.86e-02    1.11e-02    2.9e-06
 573600      4.42e-02    3.80e-02      7.78e-05    5.95e-04      2.24e-02    1.90e-02    2.9e-06
 573800      4.30e-02    4.82e-02      5.95e-04    4.07e-04      2.16e-02    2.44e-02    2.9e-06
 574000      4.01e-02    3.80e-02      1.49e-04    4.47e-04      2.03e-02    1.92e-02    2.9e-06
 574200      5.54e-02    5.19e-02      8.02e-04    3.35e-04      2.79e-02    2.63e-02    2.9e-06
 574400      4.13e-02    3.16e-02      2.53e-04    1.83e-04      2.09e-02    1.60e-02    2.9e-06
 574600      3.86e-02    4.70e-02      6.93e-04    4.56e-04      1.93e-02    2.38e-02    2.9e-06
 574800      3.16e-02    3.05e-02      2.68e-04    3.21e-05      1.60e-02    1.55e-02    2.9e-06
 575000      3.58e-02    4.38e-02      3.88e-04    4.25e-04      1.84e-02    2.25e-02    2.7e-06
 575200      4.30e-02    3.05e-02      4.37e-04    3.28e-04      2.21e-02    1.57e-02    2.7e-06
 575400      4.64e-02    5.12e-02      7.99e-05    3.45e-04      2.40e-02    2.64e-02    2.7e-06
 575600      4.36e-02    3.98e-02      1.06e-03    7.47e-04      2.19e-02    2.02e-02    2.7e-06
 575800      3.37e-02    4.56e-02      8.57e-05    1.38e-04      1.75e-02    2.36e-02    2.7e-06
 576000      6.04e-02    4.45e-02      2.09e-04    2.76e-05      3.12e-02    2.30e-02    2.7e-06
 576200      3.75e-02    2.94e-02      9.04e-04    9.50e-05      1.88e-02    1.52e-02    2.7e-06
 576400      4.45e-02    3.67e-02      7.44e-05    4.37e-05      2.30e-02    1.90e-02    2.7e-06
 576600      4.04e-02    3.98e-02      2.98e-04    3.54e-04      2.08e-02    2.05e-02    2.7e-06
 576800      6.05e-02    4.99e-02      1.40e-04    3.10e-04      3.13e-02    2.58e-02    2.7e-06
 577000      3.63e-02    5.51e-02      6.66e-04    5.01e-04      1.85e-02    2.84e-02    2.7e-06
 577200      2.89e-02    5.30e-02      3.02e-04    1.84e-04      1.49e-02    2.74e-02    2.7e-06
 577400      3.90e-02    4.62e-02      7.94e-04    1.24e-03      1.98e-02    2.30e-02    2.7e-06
 577600      3.69e-02    3.30e-02      7.08e-04    1.15e-03      1.87e-02    1.60e-02    2.7e-06
 577800      2.26e-02    3.38e-02      1.24e-04    3.26e-04      1.17e-02    1.74e-02    2.7e-06
 578000      4.15e-02    4.55e-02      8.50e-08    6.97e-06      2.14e-02    2.36e-02    2.7e-06
 578200      3.38e-02    3.41e-02      2.11e-04    8.50e-05      1.75e-02    1.76e-02    2.7e-06
 578400      3.94e-02    5.15e-02      9.89e-04    5.03e-04      1.97e-02    2.65e-02    2.7e-06
 578600      3.92e-02    4.01e-02      2.87e-04    6.61e-04      2.02e-02    2.05e-02    2.7e-06
 578800      4.21e-02    3.57e-02      4.98e-04    1.26e-03      2.16e-02    1.73e-02    2.7e-06
 579000      3.98e-02    3.71e-02      5.58e-04    2.51e-04      2.04e-02    1.92e-02    2.7e-06
 579200      2.97e-02    3.59e-02      1.56e-04    1.95e-04      1.53e-02    1.85e-02    2.7e-06
 579400      1.97e-02    5.07e-02      8.14e-05    7.46e-04      1.02e-02    2.59e-02    2.7e-06
 579600      5.65e-02    3.81e-02      1.28e-03    3.60e-04      2.85e-02    1.96e-02    2.7e-06
 579800      4.02e-02    4.99e-02      4.74e-04    8.78e-04      2.06e-02    2.54e-02    2.7e-06
 580000      5.56e-02    3.94e-02      2.04e-04    5.55e-06      2.93e-02    2.08e-02    2.6e-06
 580200      5.24e-02    4.98e-02      5.68e-04    4.04e-04      2.75e-02    2.62e-02    2.6e-06
 580400      5.17e-02    3.51e-02      1.77e-04    1.73e-05      2.72e-02    1.85e-02    2.6e-06
 580600      4.20e-02    4.95e-02      1.03e-04    1.23e-04      2.21e-02    2.61e-02    2.6e-06
 580800      3.95e-02    2.75e-02      3.88e-04    1.59e-04      2.07e-02    1.44e-02    2.6e-06
 581000      2.95e-02    4.43e-02      4.74e-05    5.96e-05      1.55e-02    2.34e-02    2.6e-06
 581200      2.97e-02    3.95e-02      8.62e-05    8.52e-05      1.56e-02    2.08e-02    2.6e-06
 581400      3.97e-02    4.78e-02      1.50e-04    3.10e-04      2.09e-02    2.52e-02    2.6e-06
 581600      5.30e-02    3.73e-02      3.05e-04    5.17e-05      2.79e-02    1.97e-02    2.6e-06
 581800      3.64e-02    4.65e-02      1.71e-04    3.13e-04      1.92e-02    2.45e-02    2.6e-06
 582000      4.14e-02    4.70e-02      4.00e-06    5.28e-04      2.18e-02    2.46e-02    2.6e-06
 582200      4.50e-02    3.52e-02      8.21e-04    7.66e-04      2.33e-02    1.81e-02    2.6e-06
 582400      4.07e-02    4.38e-02      4.18e-05    1.67e-04      2.15e-02    2.31e-02    2.6e-06
 582600      4.31e-02    3.75e-02      7.46e-04    6.12e-04      2.24e-02    1.95e-02    2.6e-06
 582800      4.22e-02    4.67e-02      2.32e-04    8.72e-05      2.22e-02    2.46e-02    2.6e-06
 583000      4.91e-02    3.51e-02      7.49e-04    4.83e-04      2.56e-02    1.83e-02    2.6e-06
 583200      4.69e-02    4.00e-02      4.17e-04    5.12e-04      2.46e-02    2.09e-02    2.6e-06
 583400      3.84e-02    4.90e-02      7.98e-05    3.28e-04      2.02e-02    2.57e-02    2.6e-06
 583600      4.10e-02    4.04e-02      7.22e-04    1.57e-03      2.13e-02    1.96e-02    2.6e-06
 583800      3.93e-02    3.74e-02      8.06e-04    2.32e-04      2.03e-02    1.97e-02    2.6e-06
 584000      5.61e-02    4.71e-02      2.35e-04    4.07e-04      2.96e-02    2.48e-02    2.6e-06
 584200      4.68e-02    4.27e-02      5.47e-04    2.32e-05      2.45e-02    2.25e-02    2.6e-06
 584400      4.69e-02    5.65e-02      5.19e-04    7.42e-04      2.45e-02    2.95e-02    2.6e-06
 584600      3.16e-02    4.96e-02      4.08e-04    4.99e-04      1.65e-02    2.60e-02    2.6e-06
 584800      3.50e-02    2.36e-02      3.45e-05    3.18e-04      1.84e-02    1.23e-02    2.6e-06
 585000      4.69e-02    7.67e-02      2.11e-04    5.20e-04      2.52e-02    4.11e-02    2.5e-06
 585200      3.61e-02    2.85e-02      7.10e-04    1.09e-03      1.90e-02    1.41e-02    2.5e-06
 585400      3.64e-02    3.79e-02      6.85e-04    7.74e-04      1.92e-02    1.99e-02    2.5e-06
 585600      3.82e-02    2.57e-02      6.72e-04    2.94e-04      2.02e-02    1.37e-02    2.5e-06
 585800      4.35e-02    4.46e-02      1.34e-04    2.22e-04      2.33e-02    2.39e-02    2.5e-06
 586000      4.50e-02    2.16e-02      1.01e-03    4.15e-04      2.35e-02    1.14e-02    2.5e-06
 586200      3.59e-02    3.62e-02      2.20e-05    1.75e-04      1.93e-02    1.94e-02    2.5e-06
 586400      3.52e-02    4.06e-02      5.84e-04    1.66e-04      1.86e-02    2.18e-02    2.5e-06
 586600      4.16e-02    3.52e-02      6.13e-04    7.66e-04      2.21e-02    1.85e-02    2.5e-06
 586800      4.90e-02    3.97e-02      5.33e-04    1.57e-04      2.61e-02    2.13e-02    2.5e-06
 587000      3.50e-02    4.51e-02      9.74e-04    1.20e-03      1.81e-02    2.33e-02    2.5e-06
 587200      2.57e-02    5.12e-02      5.69e-04    1.45e-04      1.35e-02    2.75e-02    2.5e-06
 587400      4.99e-02    3.18e-02      1.94e-04    1.92e-04      2.67e-02    1.70e-02    2.5e-06
 587600      3.78e-02    2.64e-02      4.60e-05    3.28e-04      2.03e-02    1.41e-02    2.5e-06
 587800      3.48e-02    3.63e-02      3.96e-04    9.16e-04      1.86e-02    1.89e-02    2.5e-06
 588000      4.51e-02    4.14e-02      9.37e-04    1.99e-04      2.37e-02    2.22e-02    2.5e-06
 588200      3.58e-02    4.16e-02      1.02e-03    6.34e-05      1.84e-02    2.23e-02    2.5e-06
 588400      5.16e-02    4.66e-02      3.67e-04    1.07e-04      2.76e-02    2.50e-02    2.5e-06
 588600      5.39e-02    5.63e-02      4.76e-04    3.42e-04      2.88e-02    3.02e-02    2.5e-06
 588800      4.05e-02    4.91e-02      1.21e-04    2.74e-04      2.17e-02    2.63e-02    2.5e-06
 589000      4.08e-02    3.92e-02      8.78e-05    8.42e-04      2.19e-02    2.06e-02    2.5e-06
 589200      4.89e-02    3.61e-02      4.64e-04    4.89e-05      2.61e-02    1.93e-02    2.5e-06
 589400      3.57e-02    4.18e-02      3.99e-05    4.89e-05      1.91e-02    2.24e-02    2.5e-06
 589600      3.70e-02    4.59e-02      9.86e-04    8.15e-04      1.92e-02    2.42e-02    2.5e-06
 589800      3.34e-02    3.45e-02      8.02e-04    8.90e-04      1.74e-02    1.79e-02    2.5e-06
 590000      4.00e-02    3.73e-02      1.40e-03    7.58e-04      2.05e-02    2.00e-02    2.3e-06
 590200      3.19e-02    3.41e-02      1.07e-04    2.72e-04      1.74e-02    1.86e-02    2.3e-06
 590400      4.53e-02    5.53e-02      8.44e-04    7.02e-04      2.43e-02    3.00e-02    2.3e-06
 590600      3.34e-02    4.51e-02      1.67e-04    2.62e-04      1.82e-02    2.46e-02    2.3e-06
 590800      5.63e-02    4.95e-02      1.70e-04    5.18e-05      3.07e-02    2.71e-02    2.3e-06
 591000      4.62e-02    4.31e-02      5.33e-04    7.78e-04      2.51e-02    2.32e-02    2.3e-06
 591200      4.29e-02    3.33e-02      2.13e-04    2.88e-04      2.34e-02    1.81e-02    2.3e-06
 591400      3.76e-02    4.47e-02      9.54e-04    9.12e-04      1.99e-02    2.39e-02    2.3e-06
 591600      6.34e-02    2.92e-02      1.43e-06    1.98e-04      3.46e-02    1.59e-02    2.3e-06
 591800      5.26e-02    3.07e-02      8.33e-04    3.74e-04      2.84e-02    1.67e-02    2.3e-06
 592000      3.65e-02    6.08e-02      4.24e-04    5.95e-04      1.98e-02    3.31e-02    2.3e-06
 592200      3.49e-02    2.99e-02      1.56e-04    3.57e-04      1.90e-02    1.62e-02    2.3e-06
 592400      3.09e-02    3.87e-02      1.17e-05    1.59e-04      1.69e-02    2.11e-02    2.3e-06
 592600      4.20e-02    2.57e-02      5.25e-04    4.85e-05      2.28e-02    1.41e-02    2.3e-06
 592800      2.59e-02    4.52e-02      5.70e-04    1.66e-05      1.38e-02    2.47e-02    2.3e-06
 593000      5.09e-02    1.90e-02      6.06e-04    1.10e-04      2.76e-02    1.04e-02    2.3e-06
 593200      4.21e-02    5.17e-02      6.02e-05    3.46e-04      2.30e-02    2.82e-02    2.3e-06
 593400      4.62e-02    5.35e-02      1.64e-03    3.65e-04      2.37e-02    2.92e-02    2.3e-06
 593600      4.04e-02    6.43e-02      9.67e-04    8.63e-05      2.14e-02    3.51e-02    2.3e-06
 593800      4.47e-02    4.65e-02      8.00e-05    2.28e-04      2.44e-02    2.54e-02    2.3e-06
 594000      4.69e-02    3.85e-02      1.24e-05    8.26e-05      2.56e-02    2.11e-02    2.3e-06
 594200      1.72e-02    3.57e-02      8.57e-04    9.46e-05      8.20e-03    1.95e-02    2.3e-06
 594400      4.04e-02    2.06e-02      1.66e-04    1.10e-03      2.21e-02    9.58e-03    2.3e-06
 594600      3.17e-02    3.80e-02      2.22e-04    4.20e-05      1.73e-02    2.07e-02    2.3e-06
 594800      4.97e-02    5.31e-02      3.32e-04    7.10e-05      2.71e-02    2.90e-02    2.3e-06
 595000      4.22e-02    4.09e-02      1.39e-04    4.91e-04      2.35e-02    2.26e-02    2.2e-06
 595200      3.20e-02    5.37e-02      3.23e-04    3.38e-05      1.77e-02    2.99e-02    2.2e-06
 595400      3.73e-02    3.98e-02      5.65e-04    8.63e-04      2.05e-02    2.16e-02    2.2e-06
 595600      3.27e-02    4.51e-02      4.95e-04    1.50e-04      1.80e-02    2.51e-02    2.2e-06
 595800      3.25e-02    3.57e-02      6.61e-04    5.17e-04      1.77e-02    1.97e-02    2.2e-06
 596000      3.97e-02    5.26e-02      3.09e-04    5.37e-04      2.21e-02    2.91e-02    2.2e-06
 596200      3.81e-02    3.79e-02      5.30e-04    6.61e-04      2.10e-02    2.08e-02    2.2e-06
 596400      4.19e-02    3.75e-02      7.25e-04    5.56e-04      2.30e-02    2.06e-02    2.2e-06
 596600      4.07e-02    3.96e-02      2.33e-04    1.76e-04      2.26e-02    2.20e-02    2.2e-06
 596800      2.01e-02    4.56e-02      1.02e-03    6.18e-04      9.69e-03    2.51e-02    2.2e-06
 597000      3.32e-02    5.46e-02      6.24e-04    1.24e-04      1.82e-02    3.04e-02    2.2e-06
 597200      4.75e-02    5.15e-02      3.55e-04    1.60e-04      2.64e-02    2.86e-02    2.2e-06
 597400      2.75e-02    4.90e-02      2.42e-04    2.96e-05      1.53e-02    2.73e-02    2.2e-06
 597600      4.99e-02    3.77e-02      9.88e-04    7.55e-04      2.72e-02    2.05e-02    2.2e-06
 597800      4.82e-02    3.49e-02      2.81e-04    3.84e-04      2.68e-02    1.93e-02    2.2e-06
 598000      3.96e-02    3.77e-02      1.04e-04    6.07e-04      2.20e-02    2.07e-02    2.2e-06
 598200      5.30e-02    4.08e-02      7.36e-04    2.00e-04      2.92e-02    2.27e-02    2.2e-06
 598400      3.27e-02    1.97e-02      4.83e-04    1.36e-04      1.80e-02    1.09e-02    2.2e-06
 598600      3.39e-02    4.20e-02      7.34e-04    5.46e-04      1.84e-02    2.32e-02    2.2e-06
 598800      4.33e-02    3.18e-02      2.82e-04    1.07e-04      2.40e-02    1.77e-02    2.2e-06
 599000      3.96e-02    3.43e-02      3.73e-04    1.97e-04      2.19e-02    1.91e-02    2.2e-06
 599200      6.52e-02    4.44e-02      1.45e-04    8.56e-05      3.63e-02    2.47e-02    2.2e-06
 599400      2.37e-02    3.72e-02      9.93e-05    8.48e-04      1.32e-02    2.02e-02    2.2e-06
 599600      1.68e-02    5.00e-02      4.15e-04    1.71e-04      9.06e-03    2.78e-02    2.2e-06
 599800      3.28e-02    3.79e-02      2.35e-04    7.84e-04      1.82e-02    2.06e-02    2.2e-06
 600000      1.81e-02    3.46e-02      1.01e-04    1.52e-04      1.02e-02    1.96e-02    2.1e-06
 600200      3.74e-02    4.19e-02      5.55e-04    4.42e-04      2.10e-02    2.36e-02    2.1e-06
 600400      4.13e-02    3.14e-02      2.02e-05    1.34e-04      2.34e-02    1.77e-02    2.1e-06
 600600      4.58e-02    5.73e-02      1.95e-04    6.79e-04      2.59e-02    3.22e-02    2.1e-06
 600800      3.75e-02    3.57e-02      1.46e-03    4.15e-04      1.96e-02    2.01e-02    2.1e-06
 601000      3.03e-02    3.79e-02      1.88e-04    1.03e-04      1.71e-02    2.14e-02    2.1e-06
 601200      3.42e-02    5.40e-02      2.12e-04    1.31e-03      1.93e-02    2.97e-02    2.1e-06
 601400      3.14e-02    3.34e-02      6.77e-06    5.08e-04      1.78e-02    1.87e-02    2.1e-06
 601600      3.78e-02    4.74e-02      2.36e-04    4.26e-04      2.14e-02    2.68e-02    2.1e-06
 601800      3.69e-02    2.49e-02      5.64e-04    8.60e-05      2.07e-02    1.41e-02    2.1e-06
 602000      3.38e-02    4.60e-02      6.90e-04    9.21e-04      1.88e-02    2.56e-02    2.1e-06
 602200      3.91e-02    4.77e-02      1.04e-03    1.16e-03      2.14e-02    2.62e-02    2.1e-06
 602400      3.52e-02    2.90e-02      2.92e-04    4.20e-04      1.99e-02    1.62e-02    2.1e-06
 602600      4.10e-02    2.90e-02      2.73e-05    7.22e-04      2.32e-02    1.59e-02    2.1e-06
 602800      3.62e-02    3.95e-02      3.97e-05    3.64e-04      2.05e-02    2.22e-02    2.1e-06
 603000      3.22e-02    3.19e-02      7.84e-05    2.83e-04      1.83e-02    1.80e-02    2.1e-06
 603200      4.62e-02    4.65e-02      6.57e-04    5.08e-04      2.59e-02    2.62e-02    2.1e-06
 603400      3.34e-02    3.69e-02      7.76e-04    8.10e-05      1.84e-02    2.09e-02    2.1e-06
 603600      3.07e-02    2.67e-02      3.22e-04    5.84e-04      1.73e-02    1.48e-02    2.1e-06
 603800      3.92e-02    3.18e-02      4.52e-04    3.31e-04      2.21e-02    1.79e-02    2.1e-06
 604000      3.38e-02    3.66e-02      5.50e-04    6.73e-04      1.89e-02    2.04e-02    2.1e-06
 604200      1.50e-02    3.91e-02      5.15e-04    2.83e-04      8.01e-03    2.21e-02    2.1e-06
 604400      4.04e-02    4.57e-02      5.25e-04    3.44e-04      2.27e-02    2.58e-02    2.1e-06
 604600      3.62e-02    4.99e-02      8.22e-04    2.67e-04      2.00e-02    2.82e-02    2.1e-06
 604800      4.13e-02    3.98e-02      6.62e-04    3.72e-04      2.31e-02    2.25e-02    2.1e-06
 605000      5.45e-02    3.54e-02      1.31e-03    8.05e-04      3.05e-02    1.99e-02    2.0e-06
 605200      2.71e-02    3.61e-02      1.90e-04    2.25e-04      1.56e-02    2.08e-02    2.0e-06
 605400      3.14e-02    3.63e-02      5.70e-04    7.36e-04      1.78e-02    2.05e-02    2.0e-06
 605600      2.05e-02    3.43e-02      7.55e-04    2.83e-04      1.10e-02    1.97e-02    2.0e-06
 605800      3.98e-02    3.11e-02      1.26e-04    2.50e-05      2.29e-02    1.79e-02    2.0e-06
 606000      5.41e-02    4.38e-02      1.98e-05    9.70e-05      3.12e-02    2.52e-02    2.0e-06
 606200      4.60e-02    3.79e-02      1.59e-04    5.77e-04      2.65e-02    2.16e-02    2.0e-06
 606400      3.24e-02    3.64e-02      3.33e-05    5.70e-04      1.87e-02    2.07e-02    2.0e-06
 606600      4.60e-02    4.23e-02      5.23e-04    1.84e-04      2.64e-02    2.44e-02    2.0e-06
 606800      4.56e-02    4.04e-02      4.38e-04    4.43e-04      2.61e-02    2.32e-02    2.0e-06
 607000      5.47e-02    5.88e-02      7.91e-04    9.88e-04      3.12e-02    3.34e-02    2.0e-06
 607200      3.88e-02    3.42e-02      1.01e-03    5.94e-04      2.16e-02    1.94e-02    2.0e-06
 607400      2.50e-02    3.97e-02      5.01e-04    6.35e-04      1.41e-02    2.26e-02    2.0e-06
 607600      4.07e-02    4.16e-02      6.58e-04    7.57e-04      2.31e-02    2.36e-02    2.0e-06
 607800      3.39e-02    5.92e-02      4.27e-04    8.79e-04      1.94e-02    3.37e-02    2.0e-06
 608000      4.57e-02    4.00e-02      3.46e-05    3.91e-04      2.63e-02    2.29e-02    2.0e-06
 608200      3.33e-02    3.38e-02      1.14e-04    7.38e-04      1.92e-02    1.90e-02    2.0e-06
 608400      3.40e-02    6.05e-02      6.43e-04    1.00e-03      1.92e-02    3.44e-02    2.0e-06
 608600      3.69e-02    3.93e-02      3.15e-04    1.86e-05      2.12e-02    2.26e-02    2.0e-06
 608800      4.50e-02    2.81e-02      1.80e-04    4.90e-04      2.59e-02    1.60e-02    2.0e-06
 609000      3.30e-02    3.48e-02      7.80e-05    2.83e-04      1.90e-02    2.00e-02    2.0e-06
 609200      3.28e-02    2.87e-02      3.31e-04    5.49e-04      1.88e-02    1.62e-02    2.0e-06
 609400      3.98e-02    4.86e-02      3.23e-04    2.63e-04      2.29e-02    2.79e-02    2.0e-06
 609600      3.94e-02    3.55e-02      2.13e-04    3.06e-04      2.27e-02    2.04e-02    2.0e-06
 609800      2.92e-02    5.13e-02      2.74e-04    6.21e-04      1.68e-02    2.93e-02    2.0e-06
 610000      3.61e-02    3.23e-02      3.50e-04    1.71e-04      2.11e-02    1.89e-02    1.9e-06
 610200      3.54e-02    4.08e-02      2.10e-04    4.46e-05      2.07e-02    2.39e-02    1.9e-06
 610400      3.55e-02    3.49e-02      3.69e-04    1.73e-04      2.07e-02    2.04e-02    1.9e-06
 610600      3.14e-02    1.88e-02      2.16e-05    6.93e-04      1.84e-02    1.02e-02    1.9e-06
 610800      3.95e-02    3.32e-02      6.63e-04    5.24e-04      2.29e-02    1.92e-02    1.9e-06
 611000      4.22e-02    2.71e-02      3.05e-04    3.54e-04      2.47e-02    1.57e-02    1.9e-06
 611200      3.00e-02    2.12e-02      3.01e-04    3.44e-04      1.75e-02    1.22e-02    1.9e-06
 611400      2.73e-02    3.60e-02      9.56e-05    1.97e-05      1.60e-02    2.11e-02    1.9e-06
 611600      4.94e-02    3.55e-02      1.61e-04    8.28e-05      2.89e-02    2.08e-02    1.9e-06
 611800      4.79e-02    3.05e-02      7.24e-04    7.36e-04      2.77e-02    1.74e-02    1.9e-06
 612000      4.91e-02    3.13e-02      3.32e-04    3.62e-05      2.87e-02    1.84e-02    1.9e-06
 612200      3.80e-02    3.63e-02      8.75e-05    1.14e-04      2.23e-02    2.13e-02    1.9e-06
 612400      4.38e-02    3.40e-02      9.50e-04    3.59e-04      2.51e-02    1.98e-02    1.9e-06
 612600      3.10e-02    3.78e-02      7.14e-04    9.87e-04      1.77e-02    2.14e-02    1.9e-06
 612800      3.73e-02    2.68e-02      7.42e-04    4.49e-04      2.15e-02    1.55e-02    1.9e-06
 613000      3.39e-02    3.63e-02      8.41e-05    5.92e-05      1.98e-02    2.13e-02    1.9e-06
 613200      1.80e-02    3.24e-02      8.74e-04    4.64e-04      9.26e-03    1.88e-02    1.9e-06
 613400      3.08e-02    4.32e-02      5.32e-04    1.53e-04      1.78e-02    2.53e-02    1.9e-06
 613600      4.82e-02    3.65e-02      1.41e-04    7.87e-05      2.83e-02    2.14e-02    1.9e-06
 613800      3.60e-02    1.66e-02      5.55e-05    2.52e-04      2.11e-02    9.62e-03    1.9e-06
 614000      4.94e-02    2.31e-02      7.82e-05    3.85e-04      2.89e-02    1.34e-02    1.9e-06
 614200      2.02e-02    3.61e-02      4.67e-04    8.98e-04      1.15e-02    2.05e-02    1.9e-06
 614400      4.80e-02    3.12e-02      5.59e-04    2.89e-04      2.80e-02    1.82e-02    1.9e-06
 614600      2.59e-02    3.38e-02      5.29e-04    2.76e-04      1.49e-02    1.97e-02    1.9e-06
 614800      3.89e-02    3.71e-02      2.39e-04    3.02e-04      2.27e-02    2.17e-02    1.9e-06
 615000      2.96e-02    3.19e-02      1.13e-04    2.09e-04      1.76e-02    1.90e-02    1.8e-06
 615200      2.93e-02    3.25e-02      2.98e-04    4.03e-05      1.74e-02    1.93e-02    1.8e-06
 615400      3.59e-02    5.61e-02      6.46e-04    9.08e-04      2.10e-02    3.30e-02    1.8e-06
 615600      2.89e-02    3.36e-02      1.31e-04    3.31e-04      1.72e-02    1.99e-02    1.8e-06
 615800      2.70e-02    2.76e-02      1.38e-05    3.47e-05      1.61e-02    1.64e-02    1.8e-06
 616000      2.42e-02    2.15e-02      8.18e-04    4.34e-04      1.36e-02    1.26e-02    1.8e-06
 616200      2.93e-02    2.99e-02      6.88e-04    6.41e-04      1.70e-02    1.74e-02    1.8e-06
 616400      4.28e-02    3.93e-02      3.66e-04    6.85e-04      2.54e-02    2.31e-02    1.8e-06
 616600      3.31e-02    3.26e-02      4.42e-04    4.13e-04      1.96e-02    1.93e-02    1.8e-06
 616800      3.47e-02    3.31e-02      9.54e-05    1.96e-04      2.07e-02    1.97e-02    1.8e-06
 617000      2.53e-02    3.84e-02      2.80e-04    5.67e-04      1.50e-02    2.26e-02    1.8e-06
 617200      3.65e-02    2.41e-02      1.47e-04    3.34e-05      2.17e-02    1.44e-02    1.8e-06
 617400      1.76e-02    3.21e-02      4.88e-04    4.02e-04      1.01e-02    1.90e-02    1.8e-06
 617600      3.59e-02    3.96e-02      1.25e-05    3.42e-04      2.14e-02    2.35e-02    1.8e-06
 617800      2.77e-02    3.52e-02      7.35e-05    2.37e-04      1.65e-02    2.10e-02    1.8e-06
 618000      3.10e-02    3.10e-02      8.21e-04    1.82e-04      1.79e-02    1.84e-02    1.8e-06
 618200      3.18e-02    4.22e-02      7.75e-05    3.95e-04      1.89e-02    2.50e-02    1.8e-06
 618400      6.47e-02    3.08e-02      9.25e-04    5.66e-05      3.82e-02    1.84e-02    1.8e-06
 618600      3.08e-02    3.72e-02      9.52e-05    4.20e-04      1.84e-02    2.20e-02    1.8e-06
 618800      3.84e-02    5.03e-02      3.48e-04    4.24e-04      2.28e-02    2.99e-02    1.8e-06
 619000      2.08e-02    2.61e-02      3.65e-04    3.88e-04      1.22e-02    1.54e-02    1.8e-06
 619200      4.13e-02    4.12e-02      6.95e-04    6.12e-04      2.43e-02    2.43e-02    1.8e-06
 619400      3.77e-02    3.62e-02      5.05e-04    4.72e-04      2.23e-02    2.14e-02    1.8e-06
 619600      4.46e-02    1.92e-02      2.68e-04    3.61e-04      2.65e-02    1.12e-02    1.8e-06
 619800      4.43e-02    1.38e-02      1.63e-04    5.81e-04      2.64e-02    7.48e-03    1.8e-06
 620000      3.92e-02    1.69e-02      6.00e-05    4.00e-04      2.38e-02    9.96e-03    1.7e-06
 620200      3.49e-02    3.26e-02      2.29e-05    8.48e-05      2.12e-02    1.97e-02    1.7e-06
 620400      3.57e-02    3.29e-02      2.86e-05    1.94e-04      2.16e-02    1.99e-02    1.7e-06
 620600      3.96e-02    3.27e-02      4.37e-04    3.81e-04      2.38e-02    1.97e-02    1.7e-06
 620800      3.71e-02    4.22e-02      1.51e-04    1.31e-04      2.24e-02    2.56e-02    1.7e-06
 621000      3.48e-02    3.28e-02      7.81e-04    1.35e-04      2.06e-02    1.98e-02    1.7e-06
 621200      3.51e-02    3.31e-02      3.21e-04    1.95e-04      2.12e-02    2.00e-02    1.7e-06
 621400      2.79e-02    3.89e-02      8.40e-04    2.07e-04      1.61e-02    2.36e-02    1.7e-06
 621600      3.10e-02    4.02e-02      3.37e-04    1.10e-03      1.87e-02    2.35e-02    1.7e-06
 621800      3.23e-02    3.09e-02      1.75e-04    5.04e-05      1.95e-02    1.87e-02    1.7e-06
 622000      3.26e-02    3.86e-02      3.03e-04    5.05e-04      1.97e-02    2.32e-02    1.7e-06
 622200      3.10e-02    3.35e-02      6.10e-04    9.10e-04      1.84e-02    1.95e-02    1.7e-06
 622400      2.67e-02    3.38e-02      4.79e-04    1.79e-04      1.59e-02    2.05e-02    1.7e-06
 622600      3.59e-02    3.97e-02      8.77e-04    5.86e-04      2.11e-02    2.38e-02    1.7e-06
 622800      3.38e-02    3.28e-02      5.58e-04    6.94e-04      2.02e-02    1.95e-02    1.7e-06
 623000      4.08e-02    4.44e-02      2.72e-04    3.65e-04      2.47e-02    2.68e-02    1.7e-06
 623200      3.91e-02    2.81e-02      7.12e-04    1.56e-04      2.33e-02    1.70e-02    1.7e-06
 623400      3.87e-02    3.03e-02      2.84e-04    2.52e-04      2.34e-02    1.83e-02    1.7e-06
 623600      3.46e-02    3.54e-02      1.85e-04    2.43e-04      2.09e-02    2.14e-02    1.7e-06
 623800      3.85e-02    3.00e-02      1.68e-04    1.21e-04      2.33e-02    1.81e-02    1.7e-06
 624000      2.99e-02    3.85e-02      8.51e-04    9.49e-05      1.74e-02    2.33e-02    1.7e-06
 624200      2.26e-02    3.83e-02      3.50e-04    4.79e-04      1.36e-02    2.30e-02    1.7e-06
 624400      4.28e-02    3.37e-02      6.42e-04    4.59e-04      2.57e-02    2.02e-02    1.7e-06
 624600      2.65e-02    4.86e-02      9.57e-04    1.17e-03      1.50e-02    2.86e-02    1.7e-06
 624800      2.62e-02    3.82e-02      8.43e-04    7.36e-05      1.50e-02    2.31e-02    1.7e-06
 625000      2.80e-02    4.31e-02      3.18e-04    3.62e-04      1.71e-02    2.64e-02    1.6e-06
 625200      3.11e-02    2.71e-02      4.20e-04    3.12e-04      1.90e-02    1.66e-02    1.6e-06
 625400      2.66e-02    1.71e-02      5.25e-04    1.10e-04      1.60e-02    1.05e-02    1.6e-06
